UID,SID,CST,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
AYAC02_W3D1,AYAC02,III,3.563282166,1.996511672,0.117271296,-0.085656843,-1.772113295,1.667452953,0.834420704,2.498995234,2.74421629
AYAC03_W9D7,AYAC03,III,3.469794044,1.740362689,0.649334859,0.357934847,-1.798602876,1.354108439,1.334453751,2.643465508,2.715562144
AYAC05_W3D7,AYAC05,III,2.94956808,2.392008922,0.342422681,1.184691431,0.718501689,-2,1.152288344,1.862727528,2.812595203
AYAC05_W9D7,AYAC05,III,2.915988873,2.008864074,1.344392274,0.797267541,1.190331698,-2,1.739572344,1.664641976,2.616396735
AYAC10_W2D7,AYAC10,III,3.505168164,1.591064607,0.11058971,-0.320572103,-1.361510743,0.421603927,0.7084209,2.336261554,2.636232059
EM10_W1D7,EM10,III,3.675604222,1.161368002,0.574031268,-2,-2,-0.610833916,-2,2.834364108,2.533835584
EM10_W3D2,EM10,III,3.724064571,1.220108088,-2,-2,-2,-0.899629455,-2,2.342982954,2.745561928
EM10_W4D7,EM10,III,3.662237027,0.414973348,-2,-2,-2,-2,0.709269961,2.311861892,2.642789872
EM10_W6D5,EM10,III,3.803676939,0.579783597,-2,-2,0.789580712,-2,-2,2.293145906,2.670132625
EM10_W8D7,EM10,III,3.662800598,-0.189095719,-2,-2,-2,-0.213248578,-0.089909454,2.460825705,2.5784329
UAB006_W2D2,UAB006,III,3.550177458,2.190040203,0.908485019,0.580924976,0.757396029,0.146128036,0.746634199,2.448458964,2.534127684
UAB007_W1D7,UAB007,III,3.281579643,3.093014168,2.481820859,1.220108088,0.572871602,0.488550717,1.587710965,2.125679662,2.919585868
UAB007_W6D3,UAB007,III,3.272258283,2.148368171,1.621176282,1.976808337,0.149219113,0.641474111,1.827369273,2.524782855,1.972202838
UAB010_W7D5,UAB010,III,3.57038075,1.247973266,-0.453457337,-0.772113295,-1.327902142,-2,-0.555955204,2.184796444,2.861663426
UAB088_W4D1,UAB088,III,3.407708138,2.117668941,1.201397124,1.264817823,-2,0.155336037,1.731588765,2.303556739,3.089659295
