,MT_FC,MT_p,MG_FC,MG_p,Comparison
K01918,-5.292111412,9.38E-12,-5.48133144,1.16E-13,I_IV
K01919,-0.659165251,0.395208362,-3.327692292,5.56E-07,I_IV
K01920,0.987187375,0.045997276,0.14459247,0.913498357,I_IV
K01921,1.347087117,2.35E-09,0.222839366,0.017919233,I_IV
K01922,1.271646929,0.022550306,-1.451769844,0.129580655,I_IV
K01923,-3.891244421,2.86E-09,-6.263864777,2.62E-39,I_IV
K01924,0.005371005,0.98324229,-0.043181657,0.791765379,I_IV
K01925,-0.821012956,0.001928651,-0.52118471,2.40E-06,I_IV
K01926,-0.351262332,0.479488886,2.430812573,6.93E-18,I_IV
K01928,0.481820994,0.068276287,0.370345395,0.000574086,I_IV
K01929,1.277172497,1.38E-06,0.099025458,0.478941577,I_IV
K01932,-5.167774823,1.08E-09,-6.908709318,2.12E-15,I_IV
K01933,-4.74752262,7.83E-11,-5.959876706,1.91E-33,I_IV
K01934,0.044717195,0.939826556,1.464440585,5.57E-10,I_IV
K01935,-2.524006047,0.000608327,-4.704875163,6.36E-10,I_IV
K01937,0.520346907,0.022550306,0.316012735,0.010472814,I_IV
K01938,-0.102899239,0.754893848,-0.270796047,0.023218754,I_IV
K01939,0.268157398,0.227511516,0.210099632,0.044002771,I_IV
K01940,-5.012111868,1.39E-10,-6.715806993,2.42E-26,I_IV
K01941,0.273065064,0.73825026,-0.149284545,0.917242677,I_IV
K01945,-1.67962391,0.006776572,-2.261136058,2.82E-06,I_IV
K01950,-4.121112872,2.98E-08,-8.014787439,4.16E-32,I_IV
K01951,1.227980818,1.78E-06,0.709952209,3.00E-14,I_IV
K01952,-3.23596897,9.62E-08,-6.393369487,1.41E-33,I_IV
K01953,2.671218674,1.99E-10,2.156565604,4.84E-10,I_IV
K01955,1.481713161,2.25E-09,0.974010445,3.37E-16,I_IV
K01956,3.338362331,1.08E-18,1.018211929,6.82E-14,I_IV
K01958,-4.071243165,1.32E-07,-3.925757534,3.76E-09,I_IV
K01959,0.84610406,0.093979026,-0.658677086,0.22089362,I_IV
K01960,-4.853197297,3.36E-10,-5.709335272,2.23E-10,I_IV
K01961,2.279921067,0.012816054,1.940169562,0.013029867,I_IV
K01962,2.206676294,0.011970239,2.787474011,0.001872033,I_IV
K01963,0.945785848,0.288489409,2.620227317,0.003870428,I_IV
K01966,-3.50691091,3.56E-08,-7.069850142,2.38E-24,I_IV
K01968,0.902648485,0.048281037,,,I_IV
K01969,1.231614936,0.012487968,0.159788923,0.935053147,I_IV
K01971,0.823234364,0.081733184,,,I_IV
K01972,1.366013837,5.75E-07,-0.112989682,0.293244066,I_IV
K01974,,,0.070817921,0.95929242,I_IV
K01975,0.817910421,0.128298256,-0.634949137,0.417423633,I_IV
K01976,-0.151599402,0.838688757,-1.559031714,0.022483837,I_IV
K01989,-1.217621451,0.074896018,2.902652163,2.46E-15,I_IV
K01990,-0.295962555,0.379457505,0.230054159,0.045884569,I_IV
K01991,-4.611343684,1.94E-08,-5.386677302,4.85E-10,I_IV
K01992,0.806664361,0.010893365,0.545836121,0.00011122,I_IV
K01993,-5.222219349,1.09E-11,-5.134663606,2.06E-10,I_IV
K01995,-5.311357812,1.32E-10,-6.852055522,1.10E-19,I_IV
K01996,-4.990678608,7.35E-09,-6.498020909,4.35E-18,I_IV
K01997,-4.202328959,3.48E-08,-6.994803274,6.36E-21,I_IV
K01998,-5.191666523,1.26E-10,-7.002508879,4.33E-20,I_IV
K01999,-5.019869543,9.43E-09,-6.954809969,3.02E-20,I_IV
K02000,0.041627884,0.959354956,-1.01074652,0.281035542,I_IV
K02001,-0.054768187,0.951612959,-0.540955646,0.565480484,I_IV
K02002,-0.127571245,0.880259806,-0.377463465,0.811457808,I_IV
K02003,-0.076374573,0.780589712,-0.689248398,7.14E-07,I_IV
K02004,0.207642356,0.491289331,-0.126558943,0.343743967,I_IV
K02005,-3.30914539,1.83E-05,-5.407602186,7.36E-16,I_IV
K02006,0.274684165,0.331000244,-0.522778434,2.05E-05,I_IV
K02007,0.158906463,0.831991977,-1.01711564,0.178291532,I_IV
K02008,1.069742757,0.012277613,0.142347498,0.35121159,I_IV
K02009,0.233906259,0.760567954,-1.322860879,0.064874353,I_IV
K02010,-5.242863147,5.06E-15,-6.054820522,3.64E-16,I_IV
K02011,-4.807591921,3.53E-12,-6.591372683,1.18E-15,I_IV
K02012,-5.008466728,2.34E-11,-6.713732655,8.12E-20,I_IV
K02013,0.288653542,0.617240551,0.628887927,0.058530793,I_IV
K02014,-3.720657133,5.03E-10,-6.865294567,4.68E-09,I_IV
K02015,0.692328096,0.296507644,0.716674579,0.033510627,I_IV
K02016,-0.88236518,0.114170302,0.912163666,0.006287258,I_IV
K02017,-1.137454256,0.022101266,-3.678627805,2.21E-07,I_IV
K02018,-2.255160261,0.002537033,-4.754625912,4.40E-11,I_IV
K02019,-1.65793067,0.010039652,-3.314042294,6.64E-07,I_IV
K02020,-2.570995691,0.000271864,-4.897757038,1.92E-13,I_IV
K02021,1.186990262,0.099072431,-1.199539293,0.138109909,I_IV
K02022,-1.68798981,0.021516753,-2.543228358,0.000641044,I_IV
K02023,4.090324201,1.21E-09,6.239760603,3.54E-36,I_IV
K02024,1.050435829,0.045498581,0.166403999,0.908242192,I_IV
K02025,1.027121342,0.018302568,-1.023120386,1.87E-05,I_IV
K02026,0.416610972,0.313995889,-1.2651436,5.52E-08,I_IV
K02027,2.026157929,4.30E-08,0.273064481,0.19044547,I_IV
K02028,0.939725491,0.041103609,1.266078258,5.57E-17,I_IV
K02029,2.817629756,5.35E-15,2.212077663,2.34E-18,I_IV
K02030,0.957017777,0.008159722,1.606627018,6.17E-25,I_IV
K02031,0.945130723,0.000945545,1.663319066,1.10E-21,I_IV
K02032,-0.418942754,0.104959379,-1.148357379,2.84E-09,I_IV
K02033,0.025735642,0.929478132,-0.707462054,6.70E-07,I_IV
K02034,-0.478952959,0.142424977,-0.904805206,2.15E-08,I_IV
K02035,-0.294884792,0.216200521,1.090431969,2.00E-13,I_IV
K02036,5.264751313,3.74E-21,1.650274318,2.05E-26,I_IV
K02037,4.03114617,3.42E-11,1.202616068,1.16E-15,I_IV
K02038,5.294292741,2.04E-17,1.080451568,6.89E-14,I_IV
K02039,3.652215102,5.62E-08,1.26471067,1.84E-11,I_IV
K02040,2.733534279,1.84E-12,0.936888977,1.06E-14,I_IV
K02041,7.265760995,7.33E-17,6.512563886,3.08E-24,I_IV
K02042,6.048836423,1.40E-11,6.182095492,4.37E-24,I_IV
K02043,,,0.224682439,0.833043873,I_IV
K02044,5.751179046,9.42E-18,6.365102345,3.64E-16,I_IV
K02045,0.876150098,0.055929465,-0.89236236,0.134082905,I_IV
K02046,0.82590743,0.067187628,0.097085101,0.94599804,I_IV
K02047,0.743921057,0.12072432,0.169143541,0.889786677,I_IV
K02048,0.849729125,0.066970568,0.245383417,0.822583384,I_IV
K02049,-4.945871253,1.81E-11,-7.961081847,6.54E-27,I_IV
K02050,-3.734748056,2.95E-06,-8.623603156,6.23E-27,I_IV
K02051,-5.210859753,2.07E-11,-7.402052698,5.27E-26,I_IV
K02052,0.773871145,0.312316741,1.98663776,0.021277359,I_IV
K02053,1.920988522,0.01589168,3.064146977,0.001266324,I_IV
K02054,4.377847323,1.62E-07,4.958569082,1.50E-09,I_IV
K02055,3.690910982,2.73E-06,5.292713242,4.52E-07,I_IV
K02056,-0.347146091,0.405848665,1.977674918,5.03E-13,I_IV
K02057,-0.48620602,0.237606584,2.560022488,7.92E-17,I_IV
K02058,-1.665101907,0.01038542,-4.226097285,2.13E-06,I_IV
K02062,,,-0.061357971,0.965112736,I_IV
K02063,-0.666093,0.236619162,-2.977464837,0.000293929,I_IV
K02064,-0.810944207,0.113799478,-3.700445012,2.28E-06,I_IV
K02065,-5.012793313,1.10E-12,-5.42945998,1.13E-11,I_IV
K02066,-5.007228488,8.96E-12,-5.288866908,1.09E-10,I_IV
K02067,-4.643315283,2.55E-10,-5.274432732,3.69E-11,I_IV
K02068,4.937365489,8.29E-09,4.524890123,1.34E-12,I_IV
K02069,2.819190723,0.000451952,3.259462834,1.93E-11,I_IV
K02071,-1.662626323,3.35E-05,-0.062728106,0.780957838,I_IV
K02072,-0.689683492,0.138553526,0.120348969,0.570589771,I_IV
K02073,-0.884153254,0.081733184,1.14967842,1.33E-15,I_IV
K02074,6.574035663,1.58E-19,5.943189789,2.23E-45,I_IV
K02075,5.191733093,5.31E-11,5.379282181,2.55E-46,I_IV
K02076,0.541417134,0.297963584,-0.590747778,0.447994814,I_IV
K02077,1.188519362,0.003180651,0.993092327,9.52E-06,I_IV
K02078,-2.895127856,3.30E-08,0.811838635,0.006651051,I_IV
K02079,,,-0.025299814,0.98610972,I_IV
K02080,,,0.076441098,0.956146831,I_IV
K02081,-4.588578716,1.13E-08,-6.352219117,3.30E-17,I_IV
K02082,-1.556737144,0.045722124,-2.734964875,0.000275348,I_IV
K02083,-4.237280828,1.16E-07,-6.167106252,2.11E-10,I_IV
K02086,5.687427389,4.14E-15,4.511805973,8.31E-18,I_IV
K02099,3.640224885,4.14E-07,4.246383074,6.35E-13,I_IV
K02100,1.062971314,0.028013308,-0.500422934,0.56215991,I_IV
K02103,1.355673922,0.004539287,1.512458698,0.043214432,I_IV
K02106,-1.192287725,0.0385448,-2.322405189,0.001733805,I_IV
K02108,0.766427887,0.001087933,-0.543614306,1.94E-06,I_IV
K02109,-0.007900886,0.976079608,-0.559563946,0.00010928,I_IV
K02110,-0.519353296,0.124754305,-0.710138881,3.53E-05,I_IV
K02111,0.843544394,1.52E-05,-0.422522526,1.95E-05,I_IV
K02112,0.590659159,0.008047266,-0.317327723,0.001994675,I_IV
K02113,1.275050262,8.33E-09,-0.589054333,3.07E-07,I_IV
K02114,3.692647412,2.53E-21,0.769956826,1.24E-08,I_IV
K02115,1.046732006,1.03E-05,-0.196215877,0.075757274,I_IV
K02116,0.59240815,0.279772257,-0.437516975,0.57840648,I_IV
K02117,-4.027593211,2.67E-08,-5.310893412,1.42E-10,I_IV
K02118,-4.87114468,1.03E-10,-5.220322206,6.02E-11,I_IV
K02119,-4.390508691,9.99E-09,-4.672020198,1.60E-09,I_IV
K02120,-4.724039513,4.76E-09,-5.052733984,4.22E-11,I_IV
K02121,-2.927555014,3.89E-05,-4.228479146,9.90E-09,I_IV
K02122,-3.601784788,6.83E-07,-4.264421797,2.54E-09,I_IV
K02123,-4.482133814,3.87E-09,-4.836018749,2.10E-09,I_IV
K02124,-5.163106839,5.82E-09,-4.726377049,4.51E-10,I_IV
K02126,,,0.032384977,0.979783175,I_IV
K02128,1.187959064,0.015455143,,,I_IV
K02133,1.167686753,0.017009767,,,I_IV
K02154,,,0.02475608,0.98610972,I_IV
K02160,0.436165827,0.652208367,1.145759318,0.196967821,I_IV
K02167,,,-0.037272343,0.976238882,I_IV
K02168,-0.646894652,0.324912346,-1.957513257,0.018879316,I_IV
K02169,0.241415993,0.600097276,-1.843052565,0.014012912,I_IV
K02170,,,0.161462594,0.901585901,I_IV
K02171,,,-0.235878904,0.834928455,I_IV
K02172,,,-0.630188941,0.43400609,I_IV
K02173,,,-0.595747923,0.340958181,I_IV
K02182,-1.078425343,0.039541923,-3.382974302,5.23E-06,I_IV
K02188,-1.903311935,0.001285978,-4.153269307,9.28E-08,I_IV
K02189,-1.966404553,0.005759903,-3.813202501,5.32E-07,I_IV
K02190,-5.122992552,4.68E-09,-4.65705995,4.72E-08,I_IV
K02191,-2.352849946,0.000144774,-3.073929359,8.00E-07,I_IV
K02193,,,0.079607837,0.953328619,I_IV
K02194,-0.312887575,0.50293046,-3.894975831,9.57E-09,I_IV
K02195,-1.085167817,0.026824553,-4.171571648,1.15E-09,I_IV
K02197,-0.95616044,0.052073795,-2.73524357,3.25E-06,I_IV
K02198,-2.302542438,0.000625286,-4.956113743,2.44E-09,I_IV
K02199,0.423398934,0.539193797,-0.307707334,0.7328457,I_IV
K02200,0.956458489,0.046546517,0.206431445,0.863549084,I_IV
K02203,0.669492459,0.145875674,-0.98212414,0.079025987,I_IV
K02205,0.939598999,0.043830044,-0.247797722,0.787263521,I_IV
K02217,-3.589054678,1.76E-07,-4.17549389,4.13E-10,I_IV
K02221,4.56479535,6.74E-10,1.230854617,0.000222189,I_IV
K02224,-3.56684291,3.14E-06,-4.403602099,1.64E-07,I_IV
K02226,0.659004219,0.218184901,-0.753918119,0.369936129,I_IV
K02227,-3.015925599,4.62E-06,-4.522104099,2.22E-08,I_IV
K02228,0.953675035,0.138727483,-0.300806393,0.814686543,I_IV
K02229,1.173557885,0.016218908,-0.50432836,0.570589771,I_IV
K02230,-3.334480654,2.73E-05,-5.29622054,6.47E-10,I_IV
K02231,-2.400388893,3.16E-05,-3.712463491,1.95E-07,I_IV
K02232,-2.390956774,0.001394394,-4.943213938,2.18E-09,I_IV
K02233,-1.852826627,0.01299163,-3.119334586,1.15E-05,I_IV
K02234,-2.497037012,8.62E-05,-4.712405773,1.63E-10,I_IV
K02236,4.806697475,1.13E-10,7.010800091,2.40E-23,I_IV
K02237,-0.467533918,0.476614167,0.215685035,0.175649649,I_IV
K02238,1.080569692,0.014134357,0.41836211,0.001552856,I_IV
K02240,3.551374777,6.11E-07,3.627141175,8.88E-19,I_IV
K02242,-0.665562011,0.362634231,2.882852688,8.49E-20,I_IV
K02243,2.625991724,0.000889902,4.29454123,9.34E-20,I_IV
K02244,3.317989912,6.20E-06,3.926336352,1.33E-17,I_IV
K02245,2.053849145,0.000534971,5.589621595,1.33E-22,I_IV
K02246,3.92399723,2.02E-08,4.858275079,3.55E-16,I_IV
K02248,3.416150117,2.74E-06,4.921258467,6.93E-19,I_IV
K02250,,,-0.703278564,0.346481351,I_IV
K02255,,,-0.015620024,0.990444946,I_IV
K02256,,,0.098579559,0.942590078,I_IV
K02259,0.351511542,0.650306332,-0.981536171,0.272709864,I_IV
K02261,,,0.145000117,0.91297606,I_IV
K02262,,,0.021027066,0.987997844,I_IV
K02266,,,-0.909770863,0.167262313,I_IV
K02274,0.469592419,0.603273241,-0.187640903,0.932146839,I_IV
K02275,0.544929781,0.511161793,-0.133484429,0.948583165,I_IV
K02276,0.849390026,0.294069751,0.047901293,0.97930085,I_IV
K02279,-1.101055285,0.017545101,-5.162232472,1.64E-13,I_IV
K02280,0.869768701,0.072757133,,,I_IV
K02282,-1.114427816,0.027198813,-5.791108426,2.13E-11,I_IV
K02283,-3.394846364,5.26E-06,-8.381206102,7.11E-34,I_IV
K02291,0.815985907,0.095184732,-0.373442481,0.743725541,I_IV
K02297,1.537697373,0.003900832,0.033894679,0.980078995,I_IV
K02298,1.213775918,0.032408529,0.185718452,0.895075824,I_IV
K02299,0.864262138,0.11158013,0.042597364,0.976238882,I_IV
K02301,1.250521105,0.062250566,-0.964759003,0.31430043,I_IV
K02302,0.691157267,0.265669781,-0.548972868,0.574454198,I_IV
K02303,0.663053592,0.40347713,-1.134531599,0.158596691,I_IV
K02304,-2.702103395,7.77E-07,-5.412343877,2.65E-15,I_IV
K02312,0.957198927,0.195237515,-1.533764336,0.065094974,I_IV
K02313,-0.837293021,0.00147099,0.041753577,0.865463884,I_IV
K02314,0.145803163,0.5782585,0.113771309,0.359378377,I_IV
K02315,-1.541712648,0.052557508,0.675515911,0.424353782,I_IV
K02316,-0.334822346,0.145283644,-0.305608418,0.006188908,I_IV
K02317,,,0.134673226,0.917703103,I_IV
K02327,,,-0.002365944,0.99808154,I_IV
K02334,0.353762065,0.575066944,0.127381138,0.918455159,I_IV
K02335,0.491951184,0.043483944,0.097875,0.317894768,I_IV
K02336,0.873538318,0.064198267,0.350258204,0.677778872,I_IV
K02337,-0.745198359,0.000103201,-0.526565675,3.02E-09,I_IV
K02338,-0.527830831,0.024239305,0.681801719,9.79E-06,I_IV
K02339,0.15985987,0.753191427,0.056687,0.967519871,I_IV
K02340,1.518451904,0.000289035,1.642391421,1.58E-18,I_IV
K02341,0.263677331,0.409602031,-0.248666377,0.052588741,I_IV
K02342,-0.62323754,0.131677158,0.866583986,1.44E-07,I_IV
K02343,0.7893014,0.000200126,-0.382185013,0.0003663,I_IV
K02344,0.80408425,0.092224898,0.071378924,0.958026463,I_IV
K02346,0.589262371,0.088936053,0.138517405,0.331562359,I_IV
K02347,0.853450742,0.078171214,-0.962684905,0.232283677,I_IV
K02348,4.938652499,1.78E-09,5.469722343,8.89E-19,I_IV
K02352,0.972770832,0.048173297,-0.941856049,0.228260091,I_IV
K02355,0.158651784,0.317404025,0.229541774,0.006548132,I_IV
K02356,0.087516043,0.733677784,1.302665965,3.88E-11,I_IV
K02357,-0.046689976,0.813808965,0.310413493,0.003297648,I_IV
K02358,-0.159016864,0.391755284,-0.803255873,1.92E-10,I_IV
K02361,-3.784620153,6.00E-07,-4.817563361,1.30E-09,I_IV
K02362,,,0.119659465,0.927182692,I_IV
K02363,1.00867803,0.044475786,0.212405385,0.858137577,I_IV
K02364,1.505826139,0.011100771,0.314050288,0.806506817,I_IV
K02371,-0.21627889,0.782319066,2.779729047,1.83E-10,I_IV
K02372,-0.710989905,0.377946797,1.809141579,0.025626976,I_IV
K02377,-5.611627098,3.32E-11,-5.336736976,6.02E-11,I_IV
K02379,0.13144539,0.803713562,-3.574828217,8.34E-07,I_IV
K02380,-1.773949413,0.002946764,-3.412998401,5.39E-07,I_IV
K02381,0.379914446,0.458272212,-0.378801392,0.757528812,I_IV
K02385,0.050266099,0.933893291,-1.354442315,0.012076654,I_IV
K02386,0.695491198,0.129383992,0.158001252,0.896577409,I_IV
K02387,-3.583668162,4.46E-06,-3.377922832,5.96E-06,I_IV
K02388,-3.122535188,1.67E-05,-3.082019688,4.62E-05,I_IV
K02389,-3.616782039,3.68E-05,-4.016632178,1.79E-06,I_IV
K02390,-4.870044527,1.14E-06,-4.76318765,6.18E-07,I_IV
K02391,,,0.073846614,0.957921482,I_IV
K02392,-4.535705556,3.04E-05,-4.39785981,5.12E-06,I_IV
K02393,0.905166358,0.057494577,-0.118031105,0.932808719,I_IV
K02394,1.054234444,0.026607968,0.06088397,0.965329704,I_IV
K02395,-2.422807171,0.002330331,-2.599807889,0.000281619,I_IV
K02396,-6.087444722,5.38E-09,-5.186942809,1.66E-06,I_IV
K02397,-4.652166674,2.47E-06,-4.647013535,1.68E-06,I_IV
K02398,-3.800690189,0.000223059,-3.124395806,2.14E-05,I_IV
K02400,-4.247201181,7.49E-06,-4.990657891,1.76E-06,I_IV
K02401,-3.146097412,4.21E-05,-4.635968017,5.83E-07,I_IV
K02402,,,0.086672156,0.950602247,I_IV
K02404,-3.69515278,8.54E-06,-3.803843413,6.85E-06,I_IV
K02405,-3.278835492,0.000108221,-4.382200524,1.74E-07,I_IV
K02406,-4.300069241,6.95E-07,-6.429452593,1.14E-05,I_IV
K02407,-4.374912331,4.98E-05,-5.225246958,9.68E-07,I_IV
K02408,-2.687681736,0.000407901,-3.422849634,1.37E-05,I_IV
K02409,-5.511318678,8.14E-09,-4.757123445,1.02E-06,I_IV
K02410,-5.049450367,1.21E-07,-4.457817149,1.89E-06,I_IV
K02411,-4.124585228,5.90E-06,-4.040472216,2.83E-06,I_IV
K02412,-5.092817417,1.47E-07,-4.667425871,1.78E-06,I_IV
K02413,-2.897997246,3.36E-05,-3.609139073,4.79E-06,I_IV
K02414,-5.019630183,1.05E-06,-3.858758596,1.08E-05,I_IV
K02415,,,0.12030216,0.927593722,I_IV
K02416,-4.87684038,1.25E-07,-4.526899207,4.59E-07,I_IV
K02417,-5.010555414,6.52E-07,-4.577894416,1.02E-06,I_IV
K02419,-3.582503057,5.95E-05,-4.378309564,3.23E-07,I_IV
K02420,0.738417747,0.112761716,-1.677176875,0.006950657,I_IV
K02421,-2.030051046,0.000448313,-3.794753762,4.85E-06,I_IV
K02422,-4.222473528,4.38E-05,-3.998828862,6.74E-07,I_IV
K02424,0.955057039,0.054266955,-0.052744158,0.968578513,I_IV
K02425,,,-0.082214956,0.952988087,I_IV
K02426,-3.543776223,8.52E-07,-4.447867739,2.63E-09,I_IV
K02427,1.064279892,0.03978526,-0.029298582,0.983824375,I_IV
K02428,-2.898258742,0.000319113,-4.469989209,3.41E-10,I_IV
K02429,-3.802386755,8.18E-07,-6.355185748,2.52E-16,I_IV
K02430,0.750928478,0.287285139,-0.071609427,0.963807871,I_IV
K02431,-4.113521319,1.36E-09,-5.420416136,2.29E-12,I_IV
K02433,1.756870173,1.46E-08,0.475668505,0.000661273,I_IV
K02434,2.238075927,2.18E-14,0.522894196,5.33E-05,I_IV
K02435,-0.378336802,0.460412752,-3.302897016,7.28E-19,I_IV
K02436,-1.111146672,0.058406728,-4.980072156,1.27E-09,I_IV
K02437,-3.434376781,1.70E-05,-2.466076079,5.15E-05,I_IV
K02438,-4.436514486,4.66E-07,-7.420649618,2.06E-21,I_IV
K02439,,,0.034965338,0.976238882,I_IV
K02440,-0.025348186,0.961198975,0.28253806,0.080665493,I_IV
K02441,0.86315379,0.079007768,0.160121704,0.905449137,I_IV
K02442,,,0.043226919,0.973299355,I_IV
K02443,-0.173852937,0.774464015,-1.703625653,0.013687625,I_IV
K02444,-5.14724476,5.83E-12,-6.892383555,3.08E-22,I_IV
K02445,-4.253685282,9.53E-07,-3.577990649,5.55E-08,I_IV
K02446,-4.233090299,2.01E-07,-5.206696869,7.27E-11,I_IV
K02450,,,0.220007439,0.844464255,I_IV
K02452,1.026103291,0.034539747,0.280443689,0.77717851,I_IV
K02453,-1.998223433,0.000332057,-4.38591442,2.23E-09,I_IV
K02454,-1.682499642,0.003609912,-4.660218042,1.49E-08,I_IV
K02455,0.722800094,0.096535804,-0.453629058,0.607952879,I_IV
K02456,0.881438405,0.060282804,0.124315441,0.928939619,I_IV
K02457,,,0.203198816,0.863549084,I_IV
K02458,,,0.215046665,0.835359248,I_IV
K02459,,,0.560145707,0.395934558,I_IV
K02460,,,0.381431299,0.653739577,I_IV
K02461,0.813070565,0.094230523,0.474571595,0.518279768,I_IV
K02462,,,0.036726301,0.977893075,I_IV
K02464,,,0.068896314,0.96038518,I_IV
K02467,,,0.078269381,0.956146831,I_IV
K02468,0.637994757,0.172815481,-0.335455964,0.667181979,I_IV
K02469,-0.672960636,0.001392894,-0.31590441,0.003043832,I_IV
K02470,-0.145857973,0.451684905,-0.378892089,0.000846355,I_IV
K02471,-1.18623888,0.014359474,-2.804575545,3.73E-07,I_IV
K02472,-1.497418221,0.059256991,-3.582995482,6.37E-06,I_IV
K02474,-3.601235418,7.86E-05,-3.537780562,2.29E-05,I_IV
K02475,0.824605055,0.081414618,-1.061269104,0.15115282,I_IV
K02476,0.819378874,0.094198556,-2.916724336,6.89E-05,I_IV
K02477,-4.525790583,5.07E-11,-7.078081162,1.88E-16,I_IV
K02478,-3.482518474,1.57E-05,-5.042099673,1.76E-09,I_IV
K02479,-3.02233108,5.92E-05,-5.366222628,1.29E-18,I_IV
K02480,0.638116943,0.204917126,-1.845575378,0.011670112,I_IV
K02481,-4.209136257,4.27E-07,-5.182970281,1.06E-10,I_IV
K02482,0.769303409,0.098822844,-0.998586725,0.065598814,I_IV
K02483,0.498731814,0.041388735,0.124150035,0.486129359,I_IV
K02484,-4.322125486,1.46E-08,-7.043720822,6.53E-24,I_IV
K02485,1.073622995,0.045900422,0.230616904,0.835249159,I_IV
K02488,-2.837857256,0.00030774,-4.719021979,1.80E-06,I_IV
K02492,-2.662535292,0.000545021,-5.063932469,1.55E-11,I_IV
K02493,0.58662871,0.12145304,0.097190534,0.492077408,I_IV
K02494,,,-0.139150801,0.913498357,I_IV
K02495,-4.803142395,1.09E-11,-7.429805361,2.33E-36,I_IV
K02496,0.756159856,0.156242489,0.365820517,0.653883707,I_IV
K02497,,,-0.904527021,0.173039587,I_IV
K02498,0.750555502,0.152946102,0.157775499,0.910947677,I_IV
K02499,-5.382937302,9.02E-10,-6.271676848,1.91E-16,I_IV
K02500,0.613250555,0.37835096,-2.678959712,0.000356625,I_IV
K02501,0.469362375,0.462468776,-2.255938392,0.003688479,I_IV
K02502,0.669233762,0.154730819,-0.868645171,0.136611797,I_IV
K02503,0.663074745,0.060314872,0.608330389,5.83E-07,I_IV
K02504,0.912143611,0.059615231,0.252957835,0.809008215,I_IV
K02505,,,0.324031204,0.710583277,I_IV
K02507,-2.264717139,0.000253017,-3.787818225,3.91E-07,I_IV
K02509,,,0.208937292,0.910947677,I_IV
K02510,0.979167436,0.070371473,0.205702678,0.879727577,I_IV
K02511,,,0.076917,0.956146831,I_IV
K02517,-4.916127881,5.44E-10,-5.277255611,2.74E-11,I_IV
K02518,-0.381097494,0.064308463,-0.060525743,0.864318363,I_IV
K02519,0.651839526,0.001192177,-0.328773871,7.01E-06,I_IV
K02520,0.597617982,0.00217501,-0.729310241,5.98E-10,I_IV
K02521,-2.409661577,0.000168067,-3.091740635,4.67E-06,I_IV
K02523,-5.878317812,3.85E-11,-5.173692562,2.42E-10,I_IV
K02525,-4.072523434,7.47E-09,-4.068780113,3.36E-07,I_IV
K02526,-1.324889969,0.054146995,-4.638450133,8.87E-10,I_IV
K02527,-3.982902088,3.79E-07,-5.297364459,2.95E-11,I_IV
K02528,0.66190995,0.07736032,0.316971456,0.003011437,I_IV
K02529,0.716678911,0.000451952,-0.21164901,0.267483352,I_IV
K02530,-0.473648855,0.617240551,0.312691016,0.854360026,I_IV
K02531,1.557546264,0.055844178,2.365479491,0.007248981,I_IV
K02532,1.025001334,0.075637993,-2.958321669,0.002634244,I_IV
K02533,1.179264872,0.020042092,0.115290924,0.936258446,I_IV
K02535,-5.031546822,8.25E-10,-5.378042776,2.12E-10,I_IV
K02536,-4.600708018,9.66E-11,-5.204160652,2.12E-10,I_IV
K02538,-4.466119813,2.78E-09,-3.630861591,2.68E-06,I_IV
K02543,0.903879611,0.049468817,,,I_IV
K02545,0.918378108,0.108410279,-0.666723652,0.461771798,I_IV
K02547,,,-0.190240854,0.87059461,I_IV
K02548,1.181004433,0.078912142,1.339580761,5.28E-09,I_IV
K02549,-3.553890824,1.87E-06,-4.352901101,1.06E-09,I_IV
K02550,,,0.034723364,0.981091235,I_IV
K02551,-3.760887521,6.64E-07,-5.450269987,1.45E-11,I_IV
K02552,-0.91862648,0.255223411,-3.226752044,0.000100501,I_IV
K02553,0.705997473,0.184418353,-0.762944701,0.225412261,I_IV
K02554,,,-0.14105554,0.914024326,I_IV
K02556,-4.527978652,6.19E-08,-4.264548125,1.91E-06,I_IV
K02557,-5.115082524,1.55E-11,-5.438135591,8.79E-10,I_IV
K02558,1.204066778,0.012201607,0.207811141,0.862190809,I_IV
K02560,0.934955888,0.052639614,0.076279138,0.95799113,I_IV
K02562,0.926337025,0.068276287,0.236024782,0.814686543,I_IV
K02563,-0.435479447,0.199271143,-0.384130357,5.45E-05,I_IV
K02564,-0.794066834,0.00467171,-0.002422976,0.995126935,I_IV
K02565,-4.438377902,4.73E-08,-6.556669999,1.46E-14,I_IV
K02566,-1.716845902,0.032714668,-3.250989524,7.29E-05,I_IV
K02567,-4.83E-05,0.999922804,-0.168914086,0.901585901,I_IV
K02568,,,0.123153047,0.926568755,I_IV
K02569,0.5905921,0.222245703,-0.006706007,0.99612246,I_IV
K02570,0.792853089,0.120064948,-0.114316309,0.93110945,I_IV
K02572,0.85974858,0.081920073,-0.001140412,0.999492861,I_IV
K02573,0.686358922,0.12990782,0.140765604,0.913498357,I_IV
K02574,-1.478237696,0.022904819,-2.558484573,0.000338247,I_IV
K02575,0.353268119,0.670703817,-1.394678027,0.048449508,I_IV
K02584,-1.154467165,0.044250497,-1.773704761,0.045884569,I_IV
K02586,-1.280395018,0.033883578,-3.1523345,2.27E-07,I_IV
K02587,-2.622747396,0.001678299,-5.426581839,3.25E-11,I_IV
