,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00133,-3.215601815,4.81E-08,-3.207500879,1.32E-26,I_IV
K00134,0.795030542,0.0002618,-0.009460325,0.967602291,I_IV
K00135,5.852214306,1.36E-13,4.389854265,1.07E-11,I_IV
K00137,,,0.167127828,0.898423755,I_IV
K00138,,,0.017331719,0.990444946,I_IV
K00140,-0.579722041,0.462692202,-1.472335176,0.02102648,I_IV
K00145,-1.819846142,0.046012176,-2.726103723,0.000726685,I_IV
K00146,0.943572816,0.042270646,-0.107466048,0.955473029,I_IV
K00147,-2.407873704,0.002479161,-6.666766526,2.03E-25,I_IV
K00150,-1.810358793,0.002859469,-2.262256351,0.000591587,I_IV
K00151,0.9594485,0.049558857,0.006597431,0.997060813,I_IV
K00153,0.504556514,0.330428655,-1.027178212,0.206531424,I_IV
K00154,0.182310446,0.720548582,,,I_IV
K00156,-0.20712432,0.819469065,-0.692672559,0.494748136,I_IV
K00158,5.478432706,5.71E-12,5.244791964,1.63E-15,I_IV
K00161,-3.338037176,2.88E-05,-3.404854801,7.75E-08,I_IV
K00162,-4.092671745,8.24E-07,-3.009889359,2.47E-06,I_IV
K00163,-0.311471255,0.734602381,-1.610213488,0.020443023,I_IV
K00164,-1.545764943,0.074531333,-3.774985696,0.000177469,I_IV
K00166,-2.569546292,0.00032466,-2.468323797,0.000408615,I_IV
K00167,-1.952780738,0.005361085,-2.574395909,0.000184779,I_IV
K00169,-1.047536828,0.094360731,-2.899045538,0.000585519,I_IV
K00170,-0.223000196,0.715168858,-2.876494212,0.000564434,I_IV
K00171,,,-0.167633371,0.888908767,I_IV
K00172,-0.308470646,0.599488847,-2.336741123,0.003227505,I_IV
K00174,-4.026333109,1.75E-08,-5.626332683,2.39E-11,I_IV
K00175,-4.79499139,5.37E-09,-5.234844158,8.10E-11,I_IV
K00176,-3.524137828,3.99E-07,-3.342523806,1.06E-06,I_IV
K00177,-4.935005198,1.52E-09,-4.52256595,2.99E-09,I_IV
K00179,-2.87645687,4.83E-05,-4.560149976,4.61E-07,I_IV
K00180,-1.327641275,0.02279875,-3.424828376,1.21E-05,I_IV
K00183,-2.168669842,0.00055806,-4.96359023,2.92E-09,I_IV
K00184,-0.573718472,0.227177771,-3.215230489,1.52E-06,I_IV
K00185,-1.237651145,0.014608961,-4.770501503,9.34E-10,I_IV
K00198,0.921702481,0.050989908,-0.401464557,0.583417667,I_IV
K00208,-2.498079021,0.000109219,1.760581502,0.016944805,I_IV
K00210,0.05203324,0.941286442,0.043033305,0.975501205,I_IV
K00215,-0.261637899,0.681968458,1.51504434,1.90E-06,I_IV
K00216,0.927262586,0.061280936,0.086227016,0.950147414,I_IV
K00218,0.775048579,0.082535948,,,I_IV
K00219,0.837866251,0.217343273,-4.19915973,9.32E-07,I_IV
K00224,-1.824606527,0.000433024,-4.262107694,3.10E-08,I_IV
K00226,1.935290072,0.000121892,-0.848151853,1.40E-06,I_IV
