UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB110_W7D7,UAB110,IV,#262fd4,4,0.000895498,0.000875643,5.20E-05,1.78E-05,2.69E-07,2.35E-06,0.000175105,0.000123777,0.000633955
UAB110_W10D4,UAB110,IV,#262fd4,5,0.001982596,0.001060602,,6.50E-06,,,0.000346862,0.000924928,0.00099371
UAB116_W1D7,UAB116,IV,#262fd4,1,0.00247059,0.001317098,5.17E-05,2.98E-05,2.73E-05,1.98E-06,0.000213475,0.000370052,0.004214694
UAB116_W4D6,UAB116,IV,#262fd4,3,0.000719529,0.001589052,1.48E-05,7.44E-06,5.45E-07,8.38E-07,0.000160798,0.000319656,0.000207095
UAB116_W6D7,UAB116,IV,#262fd4,4,0.003182771,0.001398263,1.93E-05,1.88E-05,2.35E-05,3.44E-06,5.09E-05,0.000309357,0.007156954
UAB116_W9D6,UAB116,IV,#262fd4,5,0.001282075,0.000570956,0.000228211,7.37E-05,0.000116888,,0.000186076,0.000304297,0.000357449
UAB117_W1D6,UAB117,III,#d48326,1,0.002027925,5.22E-05,2.14E-05,1.63E-05,7.59E-06,4.13E-07,2.97E-05,0.000102841,0.000232895
UAB117_W3D6,UAB117,III,#d48326,2,0.00102182,0.000119791,2.05E-05,7.21E-05,4.51E-05,,8.34E-05,2.23E-05,0.00041457
UAB117_W5D6,UAB117,III,#d48326,3,0.002003423,3.91E-06,1.20E-05,,2.31E-07,,1.56E-06,8.13E-05,0.000123135
UAB117_W8D1,UAB117,III,#d48326,4,0.003257939,1.35E-05,4.75E-06,2.89E-06,1.00E-07,1.20E-07,4.71E-06,0.00010819,0.000272558
UAB117_W9D6,UAB117,III,#d48326,5,0.002855665,0.000111976,1.52E-05,6.28E-06,,5.39E-08,8.85E-06,0.000126125,0.000606204
