UID,Axis1,Axis2,Lactobacillus_jensenii,Lactobacillus_crispatus,Lactobacillus_gasseri,Corynebacterium_pseudogenitalium,Staphylococcus_epidermidis,Megasphaera_genomosp.,Mageeibacillus_indolicus,Prevotella_timonensis,Prevotella_amnii,Total_pos,Total_neg,Combined,LogCombined
UAB082_W3D7,-1.504680736,-1.833302852,5.76,343.62,19.2,2.94,0.264,4991.677,3437.66,906.675,4301.219,0.000371784,0.013637231,0.027262426,-1.564435501
UAB082_W5D7,0.916243315,-1.645136737,14.8,263.264,0.693,11.6,1.24,6717.736,1493.7,75991.366,4099.766,0.000291597,0.088302568,0.003302248,-2.481190282
UAB082_W10D2,-1.217920797,0.303537556,482.408,1392.402,6.4,269.818,74.2,23694.41,563.773,417.804,5656.458,0.002225228,0.030332445,0.073361313,-1.134532903
UAB088_W2D1,-2.060525782,1.074132108,5855,15586.076,136.014,33.6,376.662,171.869,566.881,0,416.055,0.021987352,0.001154805,19.03988292,1.279664274
UAB088_W7D6,-0.953047992,2.41846846,16088.885,881.953,3.62,6.61,110.526,97.5,385.914,433.811,352.832,0.017091594,0.001270057,13.45734404,1.128959355
UAB110_W1D7,5.113062727,3.883866805,73.3,2093.779,213737.737,48.7,7.39,117.442,513.997,154.066,5910.422,0.215960906,0.006695927,32.25257772,1.50856443
UAB110_W6D2,5.751604348,5.093308676,639.762,1751.063,0,3041.013,4469.636,6295.526,13390.355,4384.345,47843.242,0.009901474,0.071913468,0.137685948,-0.861110382
UAB110_W7D7,5.092734613,6.063401269,77.7,2438.433,271132.282,1.96,0.643,124.75,423.774,40.6,10876.311,0.273651018,0.011465435,23.86747803,1.377806532
UAB116_W1D7,-2.0097991,3.177422036,317.055,19.1,5.19,36,0,16807.366,9082.667,3513.229,71459.516,0.000377345,0.100862778,0.003741172,-2.426992326
UAB116_W6D7,-2.850072415,3.037096284,260.048,79.1,2.88,37.8,2.59,13931.2,4100.075,3394.541,87210.103,0.000382418,0.108635919,0.00352018,-2.453435117
UAB117_W9D6,6.706755077,-1.916775687,876.492,1128.52,42.7,369.873,286.831,147.988,986.571,1387.902,1285.091,0.002704416,0.003807552,0.710276839,-0.148572347
UAB122_W9D6,5.345437354,-4.929171775,189107.416,2124.46,233.952,15.1,304.444,232.266,308.254,226.184,714.335,0.191785372,0.001481039,129.4938027,2.112248984
UAB129_W5D7,3.585000226,3.657397189,563.236,564.497,120.059,92623.681,8392.655,131.129,122.198,2547.812,543.315,0.102264128,0.003344454,30.57722666,1.485398093
