VOG,AYAC02_W3D1,AYAC03_W1D7,AYAC03_W7D5,AYAC05_W7D7,EM09_W2D3,EM09_W8D5,UAB006_W7D7,UAB006_W9D7,UAB015_W1D5,UAB015_W3D1,UAB015_W9D4,UAB015_W10D7,UAB022_W2D1,UAB022_W4D1,UAB022_W6D1,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W5D7,UAB035_W9D7,UAB039_W1D7,UAB039_W5D7,UAB039_W7D7,UAB048_W1D7,UAB048_W3D7,UAB048_W9D7,UAB060_W1D6,UAB060_W3D7,UAB060_W5D7,UAB060_W7D7,UAB071_W3D7,UAB071_W7D7,UAB071_W10D2,UAB077_W1D7,UAB077_W3D1,UAB077_W5D7,UAB077_W8D2,UAB077_W9D7,UAB079_W2D2,UAB079_W3D7,UAB079_W6D7,UAB079_W10D1,UAB082_W2D5,UAB082_W3D7,UAB082_W5D7,UAB082_W10D2,UAB088_W2D1,UAB088_W7D6,UAB110_W1D7,UAB110_W6D2,UAB110_W7D7,UAB116_W1D7,UAB116_W6D7,UAB117_W9D6,UAB122_W9D6,UAB129_W5D7
jaccard_30166,229.2817344,159.3814148,116.1415057,77.81709908,0,355.9231592,374.1696092,907.7317413,114.6445989,217.7452264,252.1350358,467.0919083,609.7470356,131.3125753,644.5379955,0,0,6.905070084,0,0,507.5429518,545.1800912,921.8427028,874.3846785,358.1768312,523.8078964,478.4965493,528.4638763,378.381468,100.9979214,404.4365756,369.2286847,59.92238635,133.5284449,161.4105104,90.20983031,234.9736675,107.1221354,625.4733948,329.1794684,263.7296929,1693.389723,26.55292953,69.09119812,34.15564124,198.1528994,23.29230085,174.3883753,386.9692057,340.9666658,955.2976756,523.7486826,208.5017349,413.9523877,636.8511736,207.2345539,26.76756689,745.6773843
jaccard_30224,77.87264796,62.23917806,127.3096421,23.94765226,0,0,79.06642662,132.5515451,42.33929348,82.61328571,146.6862343,96.28325751,56.87709242,90.43750683,213.2044094,66.71192795,1.108896889,115.7157112,94.19834555,0,0,0.047157233,24.9279146,63.50733154,45.45767653,64.28311579,66.79949345,75.96615034,65.45896359,88.22314844,138.4554573,59.57296871,48.03586562,59.24206949,28.92778367,48.07041241,103.4400099,64.729224,196.7380491,67.46184401,45.36917018,103.3609317,7.080716009,10.49340548,12.85774957,48.24325366,20.0595905,72.8349155,30.20067855,65.44641429,179.7465872,29.24993716,12.98350836,71.92392999,23.12035264,57.76213283,79.49585084,50.5121663
jaccard_30257,333.6113877,59.13420134,71.24940753,78.54667436,0,0,6.029634056,55.52992972,3.177950276,17.91714872,23.32401073,28.19738567,0,37.97161674,58.11061226,62.51104195,3.138784815,107.1575855,95.03421817,207.0026749,0,0,0,78.69158935,0,90.23897083,120.1103857,43.58144716,3.91685132,79.84186555,56.56690726,31.0310595,87.38432172,215.9367153,120.3128445,2.13135428,2.675724348,5.006265339,0.74807196,1.428139178,77.81472093,114.8146028,44.70023005,30.48001757,377.9019412,147.8038171,78.31375336,76.47764827,75.62082013,42.30225864,0,0,0,58.15837003,46.89623466,235.4000213,0,1.439819606
jaccard_3026,554.32699,774.4501673,608.700885,241.5611757,14265.23284,286.8593954,2041.7997,1157.021898,1498.494781,845.8222821,978.1811711,1787.923535,243.7064723,891.0886049,109.8326865,303.7026047,424.9431749,412.7544645,113.0071411,0,457.2670116,476.2646925,34.83985734,383.1644931,1271.301216,379.4302849,501.9643301,597.6291518,1599.908468,518.5738937,1429.250835,854.6285389,753.1584733,279.6392569,173.8654032,691.947001,458.9675585,554.7788882,604.0533151,478.337051,371.7728925,920.0078393,274.6365911,421.742856,412.0721077,225.0494728,253.6026753,368.0203134,1099.260538,805.3156866,297.3198946,310.377089,316.5619235,1152.329145,515.3599068,154.3849978,232.2642726,1671.747759
jaccard_30301,178.333898,172.7061082,111.0364282,75.71692818,0,0,246.3753514,389.985784,459.3092635,759.087336,355.5085862,299.7288355,335.1495642,154.2148705,588.8746094,447.8279029,209.8380956,683.3160442,504.5443363,4230.406288,0,386.9491322,96.74753217,120.3209298,189.4494573,502.3976882,627.5237129,301.1134543,263.4595229,72.08175943,134.4556935,106.3757882,527.0600634,282.1429351,188.0940076,373.7038688,395.0095531,479.7898362,553.9745134,428.84856,440.8863989,288.2274637,223.4690912,131.6481912,267.3069714,590.3862335,576.1007037,484.5508517,219.8779681,66.25699496,207.3961207,165.6725073,31.96913811,221.6693866,335.2686837,459.1161242,1056.050465,659.526747
jaccard_303384,0,12.25446764,11.80221152,0,0,0,0.331842441,9.909256693,1.057492257,3.691600502,0,0.070996986,0,11.49239355,27.37547356,0,0,0.039560254,0,0,0,5.451930692,0,0,0.465248243,0.034943654,0,0.079649175,0,79.57422771,29.74506005,8.634162731,0,0,0,0,0,0,0.181428525,0.099412784,9.339237816,32.03981702,0.216423504,2.336855938,1.284428947,1.057646118,0,0,0.61489132,6.061214993,0.334012319,0.060732766,0.078068713,0.178351654,20.89391765,0,5.747236491,16.46084085
jaccard_303759,0,3.066340069,0,2.056423694,0,0,2.234711136,0,176.4402645,80.36366707,49.42901705,57.81934248,1.496021911,0,0,0,11.41376296,156.96569,0,0,0,0,0,0,2.053809284,59.56840764,63.71161495,37.21770049,0,0,2.313671473,9.745625967,11.03586269,23.44231854,78.6130609,49.95361593,73.22514956,110.1444988,49.09222234,51.20423484,46.31840505,21.50681782,11.12779695,8.201253078,0,51.98222243,20.84004073,49.9814966,24.62665073,15.6582167,5.086096682,0,0,0,0.347274345,4.273439819,0,0
jaccard_30383,285.2806182,229.8608063,135.8885695,40.86734072,3.341427238,0,219.7205509,339.4091979,232.350849,153.1536086,192.4167452,202.1066268,0,107.4650805,125.8747171,65.61190341,3.261075132,180.1454461,56.29449955,128.3982345,313.201719,4.658462816,402.2818418,77.04353936,50.80254224,148.8109299,142.9169636,269.2747575,116.4635508,54.51002556,88.65331146,68.47690495,0,74.29476528,35.46479894,84.25875848,130.6793398,161.7498609,275.2041651,178.9991264,69.4760201,78.20661025,88.37921265,54.12693035,88.2738343,135.5732838,91.40492365,144.8125332,195.7310068,80.55584558,140.9575366,108.3155086,65.87360299,344.4710434,410.1047872,105.4929144,263.1381729,0
jaccard_304306,0,27.19678233,8.671150302,0,0,0,0,0,33.77518811,29.75135758,2.728224967,38.14873562,0,2.21098287,36.65175587,0,26.90386984,109.0608919,196.8941113,0,0,0,0,9.199863302,2.493911274,0,0,0,171.2146019,21.00790641,215.3034758,129.5672681,43.0813527,4.1703316,8.48307708,545.3582732,25.57068715,427.0605288,37.47039012,131.1771648,6.269362132,371.2755918,885.7436937,37.8285959,6.701264388,45.01600687,125.9120949,133.4639702,7.405816703,157.4018825,15.98487529,0,0,61.78328501,9.937790654,8.058486516,0,6.665831507
jaccard_30431,15.78732466,39.82701485,107.4357917,5.20979169,34.26267278,1040.546087,58.78711957,63.54903863,18.35687907,24.52505817,27.19935157,77.74737866,0,0,0,0,109.2410908,1.905715302,31.83375414,0,6.07059335,0,0,8.707476252,80.21150068,25.18717384,21.52042313,210.7258779,715.7135655,861.7217351,423.7896624,142.6370945,143.5602577,30.77969866,39.54807535,348.8698454,178.4476254,243.7444918,166.1625271,144.2974995,287.6977738,1616.890843,0.662145219,115.0175708,19.53482943,117.4453605,109.2221615,78.35601599,24.77104301,162.5641293,62.76191693,24.06082783,10.65562191,448.6111064,69.29765852,10.83978859,98.77620578,148.5760896
