VOG,AYAC02_W1D7,AYAC02_W3D1,AYAC02_W5D6,AYAC02_W9D3,AYAC03_W8D6,AYAC03_W9D7,AYAC09_W1D7,AYAC09_W5D7,AYAC09_W9D7,AYAC10_W1D7,AYAC10_W2D7,AYAC10_W9D5,EM09_W2D3,EM09_W4D4,EM09_W6D7,EM09_W9D6,EM10_W8D7,EM11_W1D7,EM11_W7D7,EM11_W9D7,UAB002_W1D4,UAB002_W5D7,UAB002_W7D7,UAB002_W9D7,UAB010_W3D1,UAB010_W5D6,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W3D6,UAB035_W5D7,UAB035_W7D4,UAB035_W9D7,UAB038_W2D2,UAB038_W3D7,UAB093_W1D7,UAB093_W4D2,UAB093_W5D7,UAB093_W7D7,UAB093_W9D6,UAB119_W5D7,UAB119_W7D7,UAB119_W9D7,UAB122_W1D7,UAB122_W3D4,UAB122_W6D5
10321,64.39670706,50.04565144,43.596128436,43.01921691,50.97134035,47.79654485,33.63635199,33.365481247000005,27.075399989,37.63648419,38.294105415,0.0,0.0,0.0,0.0,0.0,0.0,54.38132914000001,66.56355389000001,42.79042816000001,85.81621017,392.4474591,56.98228662,96.10401276,131.32481554999998,47.02221069,47.47779285,0.0,28.779230649999995,28.06416626,0.0,492.23725089999994,0.0,27.92212229,791.7308872000001,162.68209602000005,0.0,40.9817998,63.18052455,67.82085697,58.707215270000006,38.65625282,34.25549068,17.055663787,40.104230788,33.05187865,38.48499551000001,27.740188291
10613,68.93248852,66.83285743,61.04962070000001,50.2106513,93.42494825,103.0673755,45.22220075,52.96560265,47.19458294,35.86809256,53.02102424,0.67805911,0.0,0.0,45.15223856,0.524598529,126.1041741,94.37729061,119.1128065,99.34124205,53.85807502,106.87505790000002,144.2988461,104.1207063,57.61744794,86.09390964,57.79487062,1.011872578,149.4160604,48.10508094,78.5192947,0.0,168.1486899,0.0,90.5537068,75.65623776,0.0,70.63838964,60.08744522,73.44657449,55.80378518,47.55448047,77.53181102,52.15456757,73.73398829,91.95006747,94.21812652,117.1149344
10647,175.7669381,71.05148984,143.7726179,180.3929189,84.68410524,207.0238506,39.91542398,102.8455546,63.64604669,87.78613861,70.86040145,111.1382499,5.39467352,1.773668616,39.85195439,4.810353763999999,160.515981,124.54718970000002,68.68053943,368.1343658,7.574486208,18.8854269,60.3720728,72.94206874,18.54920303,23.33582245,11.64573561,0.0,16.08679904,32.95871265,4.049942569,0.0,0.0,0.0,0.0,0.0,0.0,58.10799304,22.57837302,81.6320139,19.29790341,44.20696725,164.6650847,43.21409953,335.3068279,196.6928328,80.37813309,141.6826222
10674,41.20422034,88.91343607,32.00094435,28.38444435,111.9683406,138.6775602,69.80302261,97.94659741,87.83238404,36.70931348,176.10837619999995,0.0,0.0,549.6035912000001,0.0,0.0,0.0,108.0122221,62.56344024,98.23080037,185.4734827,380.6067803,181.370879,254.95395730000004,31.97033266,62.98934823,48.07193331,1.542067583,70.75475322,114.4516107,176.16812819999996,0.0,234.6872924,0.0,0.0,3.839005954,0.0,44.85461459,39.32472181,21.65714037,40.00703334,21.6582378,109.3236952,52.66893383,95.06802035,91.80665288,89.37048836,80.5838719
10730,4.654575639,20.46196752,14.60940115,32.51931112,16.67778556,45.47894179,27.4451977,48.10723403,50.28241388,108.3754781,60.93383659,0.0,0.0,0.0,0.0,0.0,0.0,44.96320077,4.334885625,31.41098357,0.0,30.09699907,14.33504899,0.0,9.027887978999999,139.0647233,11.83456229,0.0,150.0419324,0.0,62.79738535,0.0,0.0,0.0,0.0,0.0,0.0,56.83548592,15.32483964,10.03343041,30.77368982,0.0,0.0,0.0,3.038658895,14.5209451,52.75384316,96.71493859
10825,236.52184440000002,211.82060090000002,211.6730644,169.38525204,169.91055389000005,199.95062496000003,321.35605791,266.23146380000003,244.26532845,122.84593368,196.85180951,259.733215,0.417573371,571.1051033,484.34401953599996,320.30186183,39.51172322,326.2737736,384.98052562,337.34106576,191.4682781,134.63727734000003,216.5108307,197.043121,339.83527814000007,220.67264256,267.87663560000004,17.735807481000005,207.62612051,330.81342939999996,94.88874754,714.8356805999998,13.914851,1026.6699141000001,186.7514539,244.20111511,197.0836247,419.64235608,309.49955626,373.84707979,524.0638615,484.41925017000005,294.01500807,203.22861061000003,293.95243871,419.56204137,350.8617337,321.71136145999986
1109,31.53441843,45.64592754,53.07547274,81.9034759,22.38563264,21.09419311,20.40796752,28.40721285,26.94549639,25.44849282,51.78260106,0.0,0.0,0.0,9.487900035,0.0,0.0,74.73521455,41.28401428,30.030281,0.0,0.0,60.7585538,6.450210086,32.5324484,81.63718573,25.74832118,67.12607008,51.41761937,31.1124282,45.38012571,0.0,12.00930773,0.0,0.0,53.17187307,0.0,28.97985216,34.18618074,25.82569366,29.53503504,27.69007839,51.57093312,66.31702197,24.85467147,22.24571108,31.50532365,17.03279283
11158,8.034684138,20.66293327,16.86044153,10.59312813,6.697110169,10.14350868,11.19787828,6.594531555,2.618457706,6.646146562999999,42.82467342,0.0,0.0,0.0,0.0,0.0,0.0,24.65419202,12.43302361,17.42828808,0.0,0.0,53.07807872,21.420712561,14.56490993,38.66103867,23.72000067,0.0,15.32199149,34.81021679999999,0.0,0.0,0.0,0.0,1.144869261,0.0,0.0,13.87539797,34.307002431,27.208074263,17.78944196,31.68112285,32.92251534,0.0,27.93124404,10.14716646,23.55453163,26.1955229
11268,53.77359335,90.25011004,32.51882531,22.57747385,0.0,0.0,0.0,0.0,0.0,120.6032449,76.52367831,201.4331698,0.0,0.0,74.13454993,0.0,0.0,296.9193207,321.9445544,431.54141610000005,134.0367356,9.123480556,180.6266121,0.657382038,195.7776511,264.4703477,0.0,0.0,3.023248526,7.831865601,0.0,0.0,0.0,0.0,0.0,408.065674,515.1940911,346.0542712,292.6670595,234.9748188,336.5892585,233.0225537,233.5965612,109.4280378,181.7689753,274.30937610000007,308.8767983,277.1686436
1127,90.76614042,93.95453419,64.55963936,66.25081162,84.98132655,101.8548181,82.36023524,76.59426281,85.2647413,41.35380083,91.62643576,0.0,0.0,0.0,0.0,0.0,0.0,104.5418908,122.3808608,121.4558031,0.0,0.0,6.158761789,7.453576099,170.06380430000004,181.1257027,0.0,0.0,0.285653441,0.0,0.0,0.0,0.0,0.0,0.0,1036.485792,0.0,87.90555156,54.62666797,77.42606727,30.90091955,29.71189364,81.94048263,38.31650158,83.22549085,85.01070564,63.44307332,62.73745358
