VOG,AYAC02_W1D7,AYAC02_W3D1,AYAC02_W5D6,AYAC02_W9D3,AYAC03_W1D7,AYAC03_W4D7,AYAC03_W7D5,AYAC03_W8D6,AYAC03_W9D7,AYAC05_W7D7,AYAC10_W2D7,AYAC10_W5D4,EM09_W2D3,EM09_W8D5,EM10_W1D7,EM10_W3D2,EM10_W4D7,EM10_W6D5,EM10_W8D7,EM11_W7D7,UAB006_W2D2,UAB006_W7D7,UAB007_W1D7,UAB007_W6D3,UAB007_W7D7,UAB007_W9D7,UAB010_W7D5,UAB015_W1D5,UAB015_W3D1,UAB015_W9D4,UAB015_W10D7,UAB021_W3D7,UAB021_W5D7,UAB022_W2D1,UAB022_W4D1,UAB022_W6D1,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB035_W3D6,UAB035_W5D7,UAB035_W7D4,UAB035_W9D7,UAB038_W2D2,UAB038_W3D7,UAB038_W5D7,UAB039_W5D7,UAB039_W7D7,UAB044_W3D7,UAB044_W5D7,UAB060_W7D7,UAB060_W10D2,UAB071_W7D7,UAB077_W5D7,UAB079_W2D2,UAB079_W6D7,UAB082_W2D5,UAB082_W5D7,UAB088_W4D1,UAB088_W6D1,UAB088_W7D6,UAB088_W10D1,UAB106_W1D7,UAB106_W3D7,UAB106_W5D4,UAB106_W7D7,UAB117_W1D6,UAB117_W5D6,UAB117_W8D1,UAB117_W9D6,UAB119_W1D7,UAB119_W5D7,UAB129_W5D7
jaccard_12832,94.38374289,112.4869794,32.55164604,77.8142473,225.9606397,562.3717211,140.6286493,119.8207088,190.1415148,100.4532637,127.6459693,155.741629,8.419994117,0,9.478738409,166.3749636,67.04199619,51.53099161,94.41030004,173.715934,130.1128057,128.7825878,63.50017122,52.33731828,13.49236641,8.941026786,126.5168927,33.33635102,46.37299687,28.40774816,23.02625229,62.92324961,79.08804391,0,51.30888746,0,0,0,1.636524665,0,0,377.8559916,5.527024404,0,1217.516806,7.637294809,124.4425223,0,169.3870384,61.3420915,2.3749863,69.3338349,29.5096422,26.01250961,41.51249007,16.36849035,5.037282104,6.877435708,37.08823916,12.21079297,154.3185036,118.4956773,138.0948619,85.80771816,165.3172903,66.1513042,133.272372,18.9797594,49.30130736,13.39073008,19.40157483,53.532642,99.79554769,0
jaccard_128793,802.1359209,468.1776743,1418.518013,330.7074838,535.0124921,720.9083863,467.0320534,437.3088733,839.9242926,63.79761592,397.3696123,498.856074,0,0,201.3329804,257.3874517,255.2134973,163.4865786,381.3330258,1137.212174,119.446489,132.0748941,810.1269545,36.93255515,254.9434069,257.5300347,392.0424469,79.34811803,127.9783138,74.20718775,147.2476969,277.3990304,593.6932195,742.4867968,110.7660758,3.467987926,3480.435577,1257.124794,106.7068785,406.2049009,0,323.9362494,0,148.4456361,0,0,217.6877548,56.31120782,316.7245278,1.180551774,78.76927635,514.9501814,750.440887,44.05461238,870.44627,116.5565836,18.12860301,52.41410612,160.422854,440.2478828,103.5597502,268.7497014,181.5491169,164.6055268,93.46399776,93.59098424,64.38014046,130.690711,106.1099633,351.7312913,297.9370184,61.09865789,69.14171144,0
jaccard_129569,687.6866959,1024.761295,851.4370865,1111.979263,2021.865178,1397.869366,1492.171501,700.2487494,1224.226525,823.4285824,1000.558374,1149.032318,0,36.97145817,512.3421537,448.0705045,802.1088535,473.8198003,518.5654081,693.389224,1071.952569,1064.997462,880.7395251,2597.465012,868.7699023,373.2328127,1147.58591,806.646699,891.9849424,1121.371369,1295.849577,415.6684866,791.2489761,8.510624522,654.2702258,1556.259582,2078.846014,1852.750456,1569.173211,401.182206,3463.600158,1938.675255,1810.57696,41.609848,5154.457543,480.7764867,639.3770971,20.50276228,1008.23826,1618.546659,6.224102027,531.8582536,814.4406853,687.6065372,828.8865012,754.5925362,4410.010208,1430.947054,1013.179075,2861.190688,1477.814734,1246.612002,959.5011873,123.1515378,163.1041176,114.1522346,115.4451489,2519.072205,1152.063883,1215.03779,1362.398827,683.1631915,828.1883383,692.3593369
jaccard_130231,30.37671318,73.25991102,17.89163451,41.00902438,58.58378452,52.88363519,54.95184669,24.9063217,58.76359997,49.95409665,47.09662952,52.78200135,0,0,0,56.11463268,28.24777109,49.98041617,29.23502652,46.87246503,65.16553175,87.37158664,77.04810325,33.99689051,64.81485019,15.76415468,40.81810828,29.84573979,27.17585138,27.67934436,30.43021375,23.95549764,24.99247957,0,2.057336418,0,0,0,0,0,0,29.50959888,0,0,0,0,0,0,3.402964557,0,0,30.02490856,20.3666975,38.34322587,32.10164067,101.4922711,5.726141196,51.05593297,53.96497295,41.08264162,55.07316212,26.47429145,97.6175846,77.55397029,42.9542361,45.87882168,81.92202941,31.14627184,16.01239042,19.48848869,18.82331181,96.76059855,78.57510101,0
jaccard_130343,37.78495976,58.44182894,0,11.96192724,41.59492168,45.21862368,39.4534871,63.0000708,51.27712702,51.7897291,57.25939016,21.03810903,0,0,4.53071773,59.45268866,20.78609571,78.11116278,78.0139631,35.76850581,78.46690101,121.7449929,85.90268801,84.72461464,62.09211885,16.60637068,85.09240622,52.08708542,51.24688389,117.4168366,40.29284872,81.98277723,115.4526808,0,0.302777812,0,0,0,0,0,0,0,0,149.3375543,0,0,535.3376429,0,131.464974,83.00895647,331.8704099,84.23261493,68.76303418,79.38408835,72.0546041,55.47879404,43.94157408,64.16218608,47.99851342,47.3715408,57.16654596,28.22206345,33.96832076,42.36190569,79.48440637,84.23282809,44.03596844,33.9009539,27.49297224,29.7729285,34.12151879,18.02705419,27.56634754,0
jaccard_13071,152.456076,269.0509101,66.53913661,9.363582733,74.50329118,26.18153335,145.97598,511.9947267,173.9038838,30.68134096,42.37220273,107.9631846,0,0,335.0038036,50.16308073,48.14960982,33.76491835,56.63713603,39.77057639,46.53142102,142.9716872,30.56453683,60.26721499,26.34840394,7.331463323,18.03775422,74.58485764,229.1343964,613.8883161,84.3981275,32.99879028,211.3000546,714.5353707,455.4942829,0,4.354645905,0,0,0,26.11183731,173.6084194,0,1321.456521,0,0,0,0,21.11384828,0,0,282.5070942,1272.319573,711.4470353,289.9653652,585.2281609,397.557803,262.1258013,357.6405935,28.95383294,106.3283025,357.0018089,333.0441988,26.16628801,25.8414522,36.56362996,49.43843941,142.2818327,93.89083476,185.5159987,219.446179,185.5494432,122.1485661,1017.41707
jaccard_131076,274.4611408,376.7508154,261.6267618,247.7771634,366.9742009,121.98285,192.5051156,239.0938094,340.3223396,294.6460132,0,30.73677988,660.7058029,1316.592161,119.8051764,92.71815128,126.80945,90.44518554,98.50853535,2715.799845,280.4593466,301.2934784,554.83671,298.2853686,526.3789798,126.7693935,136.1345595,0,1.559062816,0,0,221.0720478,219.8577319,299.7071465,160.7812701,15.04455767,92.98052886,137.5428387,81.12742749,226.461108,987.5982935,100.6842209,37.90969413,0.046682551,144.8755679,0,15.32805972,7.366479191,33.8755378,13.17022196,49.08590778,288.3846427,93.09974007,0,900.684613,460.645721,244.9015323,3092.910656,8520.32104,125.2307206,4872.566879,4000.003959,6991.674211,0.093017381,0.685907687,0.236130669,0.722208278,635.3134425,186.4794675,431.8520995,403.0337071,4.104187221,0,876.6098484
jaccard_13190,146.9577689,133.2749662,161.7566411,80.20006148,74.2704684,158.6256427,132.5534886,4.553186935,7.314192762,2.425362772,10.42418934,35.38043528,0,0,16.88400279,77.88827922,66.55881064,25.14782981,45.58206883,101.5570076,183.1003339,254.2025192,237.3169135,52.82798064,31.15010872,18.08003345,111.4121534,4.210743214,4.309664383,7.349236634,3.39438719,64.08222502,109.6545041,0,57.46912117,172.485437,0,2.776253697,0,0,29.17181825,70.38829768,0,3.132107411,0,0,0,0,13.06419362,0,451.6234365,192.1125009,128.7819229,33.26599787,48.82659546,4.240927044,0,54.60192707,95.13133346,31.08273006,59.97378208,36.9261211,68.07554482,5.76300812,3.233411707,3.96398969,5.948062242,37.01053083,41.95746678,40.60583518,47.61469823,3.316696298,12.92805959,0
jaccard_132051,39.86429094,81.89106779,62.25927362,55.10256506,87.21260303,66.51522389,66.78189207,76.17510609,133.2114658,149.8610704,81.71763483,154.6706807,0,5.573345222,116.2982482,59.34055313,172.4143756,132.9045045,119.7782378,48.89781846,98.51446259,132.9163499,166.3602864,60.36021995,255.7283521,69.55188895,197.700483,117.4615837,203.9457237,161.5041554,163.8185396,103.0634878,74.20606589,0,159.3196997,0,3.843915829,0.913992987,1.535504624,0,41.48880818,0,0,330.5073798,307.4189246,0,3.07265487,0,220.8107569,1.308080515,5.199558484,58.27751349,67.48964465,91.52549678,124.9708195,183.6744512,82.98237351,63.60718316,129.4705013,198.7911622,89.03179241,130.9330531,108.3383489,97.79832555,154.656306,67.5649634,67.55823781,44.05178725,193.7054453,195.3029863,106.1250358,182.9402767,212.5008155,810.6996972
jaccard_13225,72.89343094,131.8056379,69.29199587,59.25144853,265.3493461,248.3001051,160.9346021,44.34627632,293.2494294,164.5053096,170.4670069,119.6415242,0,0,74.11643687,131.474536,176.0769073,133.2688646,170.9187064,142.5549552,192.4341559,159.9900241,347.9337033,60.89444633,83.39862533,34.71596786,174.9967037,25.24431277,34.16397682,45.16542848,29.61505798,102.4351367,188.8140833,0,17.17631634,0,196.343975,0,0,0,35.43814966,0,0,5.289046816,0,0,191.7531214,0,106.9027289,61.05212438,223.5202586,140.6836932,152.6670379,53.76728189,95.90482576,97.87328552,22.72757889,90.20973477,160.3145993,201.6174428,112.4289261,81.45896029,160.6531343,18.19410158,23.40049181,20.16305715,6.098277157,92.1970861,67.27329234,128.0961772,156.4912324,111.9019263,171.6957367,0
